"ID"	"Abbreviation"	"Description"	"Reaction"	"Description_new"	"GPR"	"Subsystem_new"	"Lower bound"	"Upper bound"	"Objective"	"Notes"	"EC Number"	"KEGG ID"
1929	"r_3255"	"episteryl ester hydrolase (18:1), lipid particle"	"s_3657[lp] + s_3661[lp]  -> s_0798[lp] + s_2852[lp] + s_3660[lp]"	"H2O[lp] + episteryl oleate[lp]  -> H+[lp] + oleate[lp] + episterol[lp]"	"YLL012W"	"steroid biosynthesis ( sce00100 )"	0	1000	0	"pmid:16835446"	"3.1.1.13"	"NA"
1930	"r_3256"	"fecosteryl ester hydrolase (16:1), lipid particle"	"s_3657[lp] + s_3662[lp]  -> s_0703[lp] + s_0798[lp] + s_2848[lp]"	"H2O[lp] + fecosteryl palmitoleate[lp]  -> fecosterol[lp] + H+[lp] + palmitoleate[lp]"	"YLL012W"	"steroid biosynthesis ( sce00100 )"	0	1000	0	"pmid:16835446"	"3.1.1.13"	"NA"
1931	"r_3257"	"fecosteryl ester hydrolase (18:1), lipid particle"	"s_3657[lp] + s_3663[lp]  -> s_0703[lp] + s_0798[lp] + s_2852[lp]"	"H2O[lp] + fecosteryl oleate[lp]  -> fecosterol[lp] + H+[lp] + oleate[lp]"	"YLL012W"	"steroid biosynthesis ( sce00100 )"	0	1000	0	"pmid:16835446"	"3.1.1.13"	"NA"
1932	"r_3258"	"lanosteryl ester hydrolase (16:1), lipid particle"	"s_3657[lp] + s_3664[lp]  -> s_0798[lp] + s_2848[lp] + s_3665[lp]"	"H2O[lp] + lanosteryl palmitoleate[lp]  -> H+[lp] + palmitoleate[lp] + lanosterol[lp]"	"YLL012W"	"steroid biosynthesis ( sce00100 )"	0	1000	0	"pmid:16835446"	"3.1.1.13"	"NA"
1933	"r_3259"	"lanosteryl ester hydrolase (18:1), lipid particle"	"s_3657[lp] + s_3666[lp]  -> s_0798[lp] + s_2852[lp] + s_3665[lp]"	"H2O[lp] + lanosteryl oleate[lp]  -> H+[lp] + oleate[lp] + lanosterol[lp]"	"YLL012W"	"steroid biosynthesis ( sce00100 )"	0	1000	0	"pmid:16835446"	"3.1.1.13"	"NA"
1934	"r_3260"	"zymosteryl ester hydrolase (16:1), lipid particle"	"s_3657[lp] + s_3667[lp]  -> s_0798[lp] + s_1572[lp] + s_2848[lp]"	"H2O[lp] + zymosteryl palmitoleate[lp]  -> H+[lp] + zymosterol[lp] + palmitoleate[lp]"	"YLL012W"	"steroid biosynthesis ( sce00100 )"	0	1000	0	"pmid:16835446"	"3.1.1.13"	"NA"
1935	"r_3261"	"zymosteryl ester hydrolase (18:1), lipid particle"	"s_3657[lp] + s_3668[lp]  -> s_0798[lp] + s_1572[lp] + s_2852[lp]"	"H2O[lp] + zymosteryl oleate[lp]  -> H+[lp] + zymosterol[lp] + oleate[lp]"	"YLL012W"	"steroid biosynthesis ( sce00100 )"	0	1000	0	"pmid:16835446"	"3.1.1.13"	"NA"
1936	"r_3262"	"zymosteryl ester hydrolase (16:1), cell envelope"	"s_3449[ce] + s_3669[ce]  -> s_0793[ce] + s_1568[ce] + s_3451[ce]"	"H2O[ce] + zymosteryl palmitoleate[ce]  -> H+[ce] + zymosterol[ce] + palmitoleate[ce]"	"YLR020C"	"steroid biosynthesis ( sce00100 )"	0	1000	0	"pmid:15632184"	"3.1.1.13"	"NA"
1937	"r_3263"	"zymosteryl ester hydrolase (18:1), cell envelope"	"s_3449[ce] + s_3670[ce]  -> s_0793[ce] + s_1568[ce] + s_3459[ce]"	"H2O[ce] + zymosteryl oleate[ce]  -> H+[ce] + zymosterol[ce] + oleate[ce]"	"YLR020C"	"steroid biosynthesis ( sce00100 )"	0	1000	0	"pmid:15632184"	"3.1.1.13"	"NA"
1938	"r_3264"	"TAG lipase (1-16:0, 2-16:1, 3-16:0), lipid particle"	"s_3044[lp] + s_3657[lp]  -> s_0798[lp] + s_2846[lp] + s_3043[lp]"	"triglyceride (1-16:0, 2-16:1, 3-16:0)[lp] + H2O[lp]  -> H+[lp] + palmitate[lp] + diglyceride (1-16:0, 2-16:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1939	"r_3265"	"TAG lipase (1-16:0, 2-16:1, 3-16:1), lipid particle"	"s_3059[lp] + s_3657[lp]  -> s_0798[lp] + s_2848[lp] + s_3043[lp]"	"triglyceride (1-16:0, 2-16:1, 3-16:1)[lp] + H2O[lp]  -> H+[lp] + palmitoleate[lp] + diglyceride (1-16:0, 2-16:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1940	"r_3266"	"TAG lipase (1-16:0, 2-16:1, 3-18:0), lipid particle"	"s_3067[lp] + s_3657[lp]  -> s_0798[lp] + s_2850[lp] + s_3043[lp]"	"triglyceride (1-16:0, 2-16:1, 3-18:0)[lp] + H2O[lp]  -> H+[lp] + stearate[lp] + diglyceride (1-16:0, 2-16:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1941	"r_3267"	"TAG lipase (1-16:0, 2-16:1, 3-18:1), lipid particle"	"s_3075[lp] + s_3657[lp]  -> s_0798[lp] + s_2852[lp] + s_3043[lp]"	"triglyceride (1-16:0, 2-16:1, 3-18:1)[lp] + H2O[lp]  -> H+[lp] + oleate[lp] + diglyceride (1-16:0, 2-16:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1942	"r_3268"	"TAG lipase (1-16:1, 2-16:1, 3-16:0), lipid particle"	"s_3048[lp] + s_3657[lp]  -> s_0798[lp] + s_2846[lp] + s_3047[lp]"	"triglyceride (1-16:1, 2-16:1, 3-16:0)[lp] + H2O[lp]  -> H+[lp] + palmitate[lp] + diglyceride (1-16:1, 2-16:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1943	"r_3269"	"TAG lipase (1-16:1, 2-16:1, 3-16:1), lipid particle"	"s_3061[lp] + s_3657[lp]  -> s_0798[lp] + s_2848[lp] + s_3047[lp]"	"triglyceride (1-16:1, 2-16:1, 3-16:1)[lp] + H2O[lp]  -> H+[lp] + palmitoleate[lp] + diglyceride (1-16:1, 2-16:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1944	"r_3270"	"TAG lipase (1-16:1, 2-16:1, 3-18:0), lipid particle"	"s_3069[lp] + s_3657[lp]  -> s_0798[lp] + s_2850[lp] + s_3047[lp]"	"triglyceride (1-16:1, 2-16:1, 3-18:0)[lp] + H2O[lp]  -> H+[lp] + stearate[lp] + diglyceride (1-16:1, 2-16:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1945	"r_3271"	"TAG lipase (1-16:1, 2-16:1, 3-18:1), lipid particle"	"s_3077[lp] + s_3657[lp]  -> s_0798[lp] + s_2852[lp] + s_3047[lp]"	"triglyceride (1-16:1, 2-16:1, 3-18:1)[lp] + H2O[lp]  -> H+[lp] + oleate[lp] + diglyceride (1-16:1, 2-16:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1946	"r_3272"	"TAG lipase (1-18:0, 2-16:1, 3-16:0), lipid particle"	"s_3052[lp] + s_3657[lp]  -> s_0798[lp] + s_2846[lp] + s_3051[lp]"	"triglyceride (1-18:0, 2-16:1, 3-16:0)[lp] + H2O[lp]  -> H+[lp] + palmitate[lp] + diglyceride (1-18:0, 2-16:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1947	"r_3273"	"TAG lipase (1-18:0, 2-16:1, 3-16:1), lipid particle"	"s_3063[lp] + s_3657[lp]  -> s_0798[lp] + s_2848[lp] + s_3051[lp]"	"triglyceride (1-18:0, 2-16:1, 3-16:1)[lp] + H2O[lp]  -> H+[lp] + palmitoleate[lp] + diglyceride (1-18:0, 2-16:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1948	"r_3274"	"TAG lipase (1-18:0, 2-16:1, 3-18:0), lipid particle"	"s_3071[lp] + s_3657[lp]  -> s_0798[lp] + s_2850[lp] + s_3051[lp]"	"triglyceride (1-18:0, 2-16:1, 3-18:0)[lp] + H2O[lp]  -> H+[lp] + stearate[lp] + diglyceride (1-18:0, 2-16:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1949	"r_3275"	"TAG lipase (1-18:0, 2-16:1, 3-18:1), lipid particle"	"s_3079[lp] + s_3657[lp]  -> s_0798[lp] + s_2852[lp] + s_3051[lp]"	"triglyceride (1-18:0, 2-16:1, 3-18:1)[lp] + H2O[lp]  -> H+[lp] + oleate[lp] + diglyceride (1-18:0, 2-16:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1950	"r_3276"	"TAG lipase (1-18:1, 2-16:1, 3-16:0), lipid particle"	"s_3056[lp] + s_3657[lp]  -> s_0798[lp] + s_2846[lp] + s_3055[lp]"	"triglyceride (1-18:1, 2-16:1, 3-16:0)[lp] + H2O[lp]  -> H+[lp] + palmitate[lp] + diglyceride (1-18:1, 2-16:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1951	"r_3277"	"TAG lipase (1-18:1, 2-16:1, 3-16:1), lipid particle"	"s_3065[lp] + s_3657[lp]  -> s_0798[lp] + s_2848[lp] + s_3055[lp]"	"triglyceride (1-18:1, 2-16:1, 3-16:1)[lp] + H2O[lp]  -> H+[lp] + palmitoleate[lp] + diglyceride (1-18:1, 2-16:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1952	"r_3278"	"TAG lipase (1-18:1, 2-16:1, 3-18:0), lipid particle"	"s_3073[lp] + s_3657[lp]  -> s_0798[lp] + s_2850[lp] + s_3055[lp]"	"triglyceride (1-18:1, 2-16:1, 3-18:0)[lp] + H2O[lp]  -> H+[lp] + stearate[lp] + diglyceride (1-18:1, 2-16:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1953	"r_3279"	"TAG lipase (1-18:1, 2-16:1, 3-18:1), lipid particle"	"s_3081[lp] + s_3657[lp]  -> s_0798[lp] + s_2852[lp] + s_3055[lp]"	"triglyceride (1-18:1, 2-16:1, 3-18:1)[lp] + H2O[lp]  -> H+[lp] + oleate[lp] + diglyceride (1-18:1, 2-16:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1954	"r_3280"	"TAG lipase (1-16:0, 2-18:1, 3-16:0), lipid particle"	"s_3046[lp] + s_3657[lp]  -> s_0798[lp] + s_2846[lp] + s_3045[lp]"	"triglyceride (1-16:0, 2-18:1, 3-16:0)[lp] + H2O[lp]  -> H+[lp] + palmitate[lp] + diglyceride (1-16:0, 2-18:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1955	"r_3281"	"TAG lipase (1-16:0, 2-18:1, 3-16:1), lipid particle"	"s_3060[lp] + s_3657[lp]  -> s_0798[lp] + s_2848[lp] + s_3045[lp]"	"triglyceride (1-16:0, 2-18:1, 3-16:1)[lp] + H2O[lp]  -> H+[lp] + palmitoleate[lp] + diglyceride (1-16:0, 2-18:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1956	"r_3282"	"TAG lipase (1-16:0, 2-18:1, 3-18:0), lipid particle"	"s_3068[lp] + s_3657[lp]  -> s_0798[lp] + s_2850[lp] + s_3045[lp]"	"triglyceride (1-16:0, 2-18:1, 3-18:0)[lp] + H2O[lp]  -> H+[lp] + stearate[lp] + diglyceride (1-16:0, 2-18:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1957	"r_3283"	"TAG lipase (1-16:0, 2-18:1, 3-18:1), lipid particle"	"s_3076[lp] + s_3657[lp]  -> s_0798[lp] + s_2852[lp] + s_3045[lp]"	"triglyceride (1-16:0, 2-18:1, 3-18:1)[lp] + H2O[lp]  -> H+[lp] + oleate[lp] + diglyceride (1-16:0, 2-18:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1958	"r_3284"	"TAG lipase (1-16:1, 2-18:1, 3-16:0), lipid particle"	"s_3050[lp] + s_3657[lp]  -> s_0798[lp] + s_2846[lp] + s_3049[lp]"	"triglyceride (1-16:1, 2-18:1, 3-16:0)[lp] + H2O[lp]  -> H+[lp] + palmitate[lp] + diglyceride (1-16:1, 2-18:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1959	"r_3285"	"TAG lipase (1-16:1, 2-18:1, 3-16:1), lipid particle"	"s_3062[lp] + s_3657[lp]  -> s_0798[lp] + s_2848[lp] + s_3049[lp]"	"triglyceride (1-16:1, 2-18:1, 3-16:1)[lp] + H2O[lp]  -> H+[lp] + palmitoleate[lp] + diglyceride (1-16:1, 2-18:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1960	"r_3286"	"TAG lipase (1-16:1, 2-18:1, 3-18:0), lipid particle"	"s_3070[lp] + s_3657[lp]  -> s_0798[lp] + s_2850[lp] + s_3049[lp]"	"triglyceride (1-16:1, 2-18:1, 3-18:0)[lp] + H2O[lp]  -> H+[lp] + stearate[lp] + diglyceride (1-16:1, 2-18:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1961	"r_3287"	"TAG lipase (1-16:1, 2-18:1, 3-18:1), lipid particle"	"s_3078[lp] + s_3657[lp]  -> s_0798[lp] + s_2852[lp] + s_3049[lp]"	"triglyceride (1-16:1, 2-18:1, 3-18:1)[lp] + H2O[lp]  -> H+[lp] + oleate[lp] + diglyceride (1-16:1, 2-18:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1962	"r_3288"	"TAG lipase (1-18:0, 2-18:1, 3-16:0), lipid particle"	"s_3054[lp] + s_3657[lp]  -> s_0798[lp] + s_2846[lp] + s_3053[lp]"	"triglyceride (1-18:0, 2-18:1, 3-16:0)[lp] + H2O[lp]  -> H+[lp] + palmitate[lp] + diglyceride (1-18:0, 2-18:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1963	"r_3289"	"TAG lipase (1-18:0, 2-18:1, 3-16:1), lipid particle"	"s_3064[lp] + s_3657[lp]  -> s_0798[lp] + s_2848[lp] + s_3053[lp]"	"triglyceride (1-18:0, 2-18:1, 3-16:1)[lp] + H2O[lp]  -> H+[lp] + palmitoleate[lp] + diglyceride (1-18:0, 2-18:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1964	"r_3290"	"TAG lipase (1-18:0, 2-18:1, 3-18:0), lipid particle"	"s_3072[lp] + s_3657[lp]  -> s_0798[lp] + s_2850[lp] + s_3053[lp]"	"triglyceride (1-18:0, 2-18:1, 3-18:0)[lp] + H2O[lp]  -> H+[lp] + stearate[lp] + diglyceride (1-18:0, 2-18:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1965	"r_3291"	"TAG lipase (1-18:0, 2-18:1, 3-18:1), lipid particle"	"s_3080[lp] + s_3657[lp]  -> s_0798[lp] + s_2852[lp] + s_3053[lp]"	"triglyceride (1-18:0, 2-18:1, 3-18:1)[lp] + H2O[lp]  -> H+[lp] + oleate[lp] + diglyceride (1-18:0, 2-18:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1966	"r_3292"	"TAG lipase (1-18:1, 2-18:1, 3-16:0), lipid particle"	"s_3058[lp] + s_3657[lp]  -> s_0798[lp] + s_2846[lp] + s_3057[lp]"	"triglyceride (1-18:1, 2-18:1, 3-16:0)[lp] + H2O[lp]  -> H+[lp] + palmitate[lp] + diglyceride (1-18:1, 2-18:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1967	"r_3293"	"TAG lipase (1-18:1, 2-18:1, 3-16:1), lipid particle"	"s_3066[lp] + s_3657[lp]  -> s_0798[lp] + s_2848[lp] + s_3057[lp]"	"triglyceride (1-18:1, 2-18:1, 3-16:1)[lp] + H2O[lp]  -> H+[lp] + palmitoleate[lp] + diglyceride (1-18:1, 2-18:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1968	"r_3294"	"TAG lipase (1-18:1, 2-18:1, 3-18:0), lipid particle"	"s_3074[lp] + s_3657[lp]  -> s_0798[lp] + s_2850[lp] + s_3057[lp]"	"triglyceride (1-18:1, 2-18:1, 3-18:0)[lp] + H2O[lp]  -> H+[lp] + stearate[lp] + diglyceride (1-18:1, 2-18:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1969	"r_3295"	"TAG lipase (1-18:1, 2-18:1, 3-18:1), lipid particle"	"s_3082[lp] + s_3657[lp]  -> s_0798[lp] + s_2852[lp] + s_3057[lp]"	"triglyceride (1-18:1, 2-18:1, 3-18:1)[lp] + H2O[lp]  -> H+[lp] + oleate[lp] + diglyceride (1-18:1, 2-18:1)[lp]"	"( YBR204C or YKR089C or YMR313C or YOR081C )"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.-; 3.1.1.3"	"NA"
1970	"r_3296"	"DAG lipase (1-16:0, 2-16:1), lipid particle"	"s_3043[lp] + s_3657[lp]  -> s_0798[lp] + s_2848[lp] + s_3671[lp]"	"diglyceride (1-16:0, 2-16:1)[lp] + H2O[lp]  -> H+[lp] + palmitoleate[lp] + 1-monoglyceride (16:0)[lp]"	"YMR313C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.3"	"NA"
1971	"r_3297"	"DAG lipase (1-16:1, 2-16:1), lipid particle"	"s_3047[lp] + s_3657[lp]  -> s_0798[lp] + s_2848[lp] + s_3672[lp]"	"diglyceride (1-16:1, 2-16:1)[lp] + H2O[lp]  -> H+[lp] + palmitoleate[lp] + 1-monoglyceride (16:1)[lp]"	"YMR313C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.3"	"NA"
1972	"r_3298"	"DAG lipase (1-18:0, 2-16:1), lipid particle"	"s_3051[lp] + s_3657[lp]  -> s_0798[lp] + s_2848[lp] + s_3673[lp]"	"diglyceride (1-18:0, 2-16:1)[lp] + H2O[lp]  -> H+[lp] + palmitoleate[lp] + 1-monoglyceride (18:0)[lp]"	"YMR313C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.3"	"NA"
1973	"r_3299"	"DAG lipase (1-18:1, 2-16:1), lipid particle"	"s_3055[lp] + s_3657[lp]  -> s_0798[lp] + s_2848[lp] + s_3674[lp]"	"diglyceride (1-18:1, 2-16:1)[lp] + H2O[lp]  -> H+[lp] + palmitoleate[lp] + 1-monoglyceride (18:1)[lp]"	"YMR313C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.3"	"NA"
1974	"r_3300"	"DAG lipase (1-16:0, 2-18:1), lipid particle"	"s_3045[lp] + s_3657[lp]  -> s_0798[lp] + s_2852[lp] + s_3671[lp]"	"diglyceride (1-16:0, 2-18:1)[lp] + H2O[lp]  -> H+[lp] + oleate[lp] + 1-monoglyceride (16:0)[lp]"	"YMR313C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.3"	"NA"
1975	"r_3301"	"DAG lipase (1-16:1, 2-18:1), lipid particle"	"s_3049[lp] + s_3657[lp]  -> s_0798[lp] + s_2852[lp] + s_3672[lp]"	"diglyceride (1-16:1, 2-18:1)[lp] + H2O[lp]  -> H+[lp] + oleate[lp] + 1-monoglyceride (16:1)[lp]"	"YMR313C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.3"	"NA"
1976	"r_3302"	"DAG lipase (1-18:0, 2-18:1), lipid particle"	"s_3053[lp] + s_3657[lp]  -> s_0798[lp] + s_2852[lp] + s_3673[lp]"	"diglyceride (1-18:0, 2-18:1)[lp] + H2O[lp]  -> H+[lp] + oleate[lp] + 1-monoglyceride (18:0)[lp]"	"YMR313C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.3"	"NA"
1977	"r_3303"	"DAG lipase (1-18:1, 2-18:1), lipid particle"	"s_3057[lp] + s_3657[lp]  -> s_0798[lp] + s_2852[lp] + s_3674[lp]"	"diglyceride (1-18:1, 2-18:1)[lp] + H2O[lp]  -> H+[lp] + oleate[lp] + 1-monoglyceride (18:1)[lp]"	"YMR313C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.3"	"NA"
1978	"r_3304"	"DAG lipase (1-16:0, 2-18:1), mitochondrion"	"s_0807[m] + s_3675[m]  -> s_0799[m] + s_3676[m] + s_3677[m]"	"H2O[m] + diglyceride (1-16:0, 2-18:1)[m]  -> H+[m] + 1-monoglyceride (16:0)[m] + oleate[m]"	"YDR058C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.3"	"NA"
1979	"r_3305"	"DAG lipase (1-16:1, 2-18:1), mitochondrion"	"s_0807[m] + s_3678[m]  -> s_0799[m] + s_3677[m] + s_3679[m]"	"H2O[m] + diglyceride (1-16:1, 2-18:1)[m]  -> H+[m] + oleate[m] + 1-monoglyceride (16:1)[m]"	"YDR058C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.3"	"NA"
1980	"r_3306"	"DAG lipase (1-18:0, 2-18:1), mitochondrion"	"s_0807[m] + s_3680[m]  -> s_0799[m] + s_3677[m] + s_3681[m]"	"H2O[m] + diglyceride (1-18:0, 2-18:1)[m]  -> H+[m] + oleate[m] + 1-monoglyceride (18:0)[m]"	"YDR058C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.3"	"NA"
1981	"r_3307"	"DAG lipase (1-18:1, 2-18:1), mitochondrion"	"s_0807[m] + s_3682[m]  -> s_0799[m] + s_3677[m] + s_3683[m]"	"H2O[m] + diglyceride (1-18:1, 2-18:1)[m]  -> H+[m] + oleate[m] + 1-monoglyceride (18:1)[m]"	"YDR058C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.3"	"NA"
1982	"r_3308"	"MAG lipase (1-16:0), lipid particle"	"s_3657[lp] + s_3671[lp]  -> s_0798[lp] + s_2846[lp] + s_3684[lp]"	"H2O[lp] + 1-monoglyceride (16:0)[lp]  -> H+[lp] + palmitate[lp] + glycerol[lp]"	"YKL094W"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.23"	"NA"
1983	"r_3309"	"MAG lipase (1-16:1), lipid particle"	"s_3657[lp] + s_3672[lp]  -> s_0798[lp] + s_2848[lp] + s_3684[lp]"	"H2O[lp] + 1-monoglyceride (16:1)[lp]  -> H+[lp] + palmitoleate[lp] + glycerol[lp]"	"YKL094W"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.23"	"NA"
1984	"r_3310"	"MAG lipase (1-18:0), lipid particle"	"s_3657[lp] + s_3673[lp]  -> s_0798[lp] + s_2850[lp] + s_3684[lp]"	"H2O[lp] + 1-monoglyceride (18:0)[lp]  -> H+[lp] + stearate[lp] + glycerol[lp]"	"YKL094W"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.23"	"NA"
1985	"r_3311"	"MAG lipase (1-18:1), lipid particle"	"s_3657[lp] + s_3674[lp]  -> s_0798[lp] + s_2852[lp] + s_3684[lp]"	"H2O[lp] + 1-monoglyceride (18:1)[lp]  -> H+[lp] + oleate[lp] + glycerol[lp]"	"YKL094W"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"3.1.1.23"	"NA"
