Abbreviation	Subsystem_new	Removed duplicated subsystems and evidences for the choosed subystem
r_3271	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3272	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3273	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3274	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3275	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3276	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3277	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3278	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3279	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3280	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3281	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3282	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3283	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3284	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3285	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3286	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3287	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3288	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3289	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3290	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3291	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3292	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3293	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3294	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3295	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3296	glycerolipid metabolism ( sce00561 )	No change
r_3297	glycerolipid metabolism ( sce00561 )	No change
r_3298	glycerolipid metabolism ( sce00561 )	No change
r_3299	glycerolipid metabolism ( sce00561 )	No change
r_3300	glycerolipid metabolism ( sce00561 )	No change
r_3301	glycerolipid metabolism ( sce00561 )	No change
r_3302	glycerolipid metabolism ( sce00561 )	No change
r_3303	glycerolipid metabolism ( sce00561 )	No change
r_3304	glycerolipid metabolism ( sce00561 )	No change
r_3305	glycerolipid metabolism ( sce00561 )	No change
r_3306	glycerolipid metabolism ( sce00561 )	No change
r_3307	glycerolipid metabolism ( sce00561 )	No change
r_3308	glycerolipid metabolism ( sce00561 )	No change
r_3309	glycerolipid metabolism ( sce00561 )	No change
r_3310	glycerolipid metabolism ( sce00561 )	No change
r_3311	glycerolipid metabolism ( sce00561 )	No change
r_3312	glycerolipid metabolism ( sce00561 )	No change
r_3313	glycerolipid metabolism ( sce00561 )	No change
r_3314	glycerolipid metabolism ( sce00561 )	No change
r_3315	glycerolipid metabolism ( sce00561 )	No change
r_3316	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3317	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3318	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3319	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3320	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3321	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3322	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3323	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3324	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3325	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3326	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3327	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3328	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3329	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3330	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_3331	glycerolipid metabolism ( sce00561 )	"/ sce00100 Steroid biosynthesis / sce00564 Glycerophospholipid metabolism ; Glycerol metabolism (glycerolipid metabolism) ito980"
r_4039	pyruvate metabolism ( sce00620 )	No change
r_4042	histidine metabolism ( sce00340 )	No change
r_4045	pyrimidine metabolism ( sce00240 )	"/ sce00760 Nicotinate and nicotinamide metabolism; MNX"
r_0964	transport [cytoplasm, vacuole], reduced glutathione transporter via abc system	name of the reaction
r_1028	transport [cytoplasm, vacuole]	imm904
r_1085	oxidative phosphorylation ( sce00190 )	"/ sce04145 Phagosome; ito980"
r_1086	oxidative phosphorylation ( sce00190 )	"/ sce04145 Phagosome; ito980"
r_1096	transport [cytoplasm, extracellular]	No change
r_1097	transport [cytoplasm, extracellular]	No change
r_1098	transport [cytoplasm, extracellular]	No change
r_1099	transport [cytoplasm, mitochondrion]	No change
r_1100	transport [cytoplasm, mitochondrion]	No change
r_1101	transport [cytoplasm, extracellular]	No change
r_1102	transport [cytoplasm, extracellular]	No change
r_1103	transport [cytoplasm, extracellular]	No change
r_1104	transport [cytoplasm, extracellular]	No change
r_1106	transport [cytoplasm, extracellular]	No change
r_1107	transport [cytoplasm, extracellular]	No change
r_1108	transport [cytoplasm, extracellular]	No change
r_1109	transport [cytoplasm, extracellular]	No change
r_1110	transport [cytoplasm, mitochondrion]	No change
r_1111	transport [cytoplasm, peroxisome]	No change
r_1112	transport [cytoplasm, mitochondrion]	No change
r_1113	transport [cytoplasm, extracellular]	No change
r_1114	transport [cytoplasm, extracellular]	No change
r_1115	transport [cytoplasm, extracellular]	No change
r_1116	transport [cytoplasm, peroxisome]	No change
r_1118	transport [cytoplasm, mitochondrion]	No change
r_1119	transport [cytoplasm, extracellular]	No change
r_1120	transport [cytoplasm, mitochondrion]	No change
r_1121	transport [endoplasmic_reticulum, golgi]	No change
r_1122	transport [endoplasmic_reticulum, golgi]	No change
r_1123	transport [endoplasmic_reticulum, golgi]	No change
r_1124	transport [endoplasmic_reticulum, golgi]	No change
r_1125	transport [cytoplasm, extracellular]	No change
r_1126	transport [cytoplasm, mitochondrion]	No change
r_1127	transport [cytoplasm, mitochondrion]	No change
r_1128	transport [cytoplasm, mitochondrion]	No change
r_1129	transport [cytoplasm, mitochondrion]	No change
r_1130	transport [cytoplasm, mitochondrion]	No change
r_1131	transport [cytoplasm, mitochondrion]	No change
r_1132	transport [cytoplasm, extracellular]	No change
r_1133	transport [cytoplasm, extracellular]	No change
r_1134	transport [cytoplasm, extracellular]	No change
r_1135	transport [cytoplasm, extracellular]	No change
r_1136	transport [cytoplasm, extracellular]	No change
r_1137	transport [cytoplasm, mitochondrion]	No change
r_1138	transport [cytoplasm, mitochondrion]	No change
r_1139	transport [cytoplasm, extracellular]	No change
r_1146	transport [cytoplasm, extracellular]	No change
r_1147	transport [cytoplasm, extracellular]	No change
r_1148	transport [cytoplasm, cell_envelope]	No change
r_1149	transport [cytoplasm, extracellular]	No change
r_1151	transport [cytoplasm, mitochondrion]	No change
r_1161	transport [cytoplasm, extracellular]	No change
r_1162	transport [cytoplasm, cell_envelope]	No change
r_1164	transport [cytoplasm, extracellular]	No change
r_1165	transport [cytoplasm, golgi]	No change
r_1166	transport [cytoplasm, extracellular]	No change
r_1167	transport [cytoplasm, extracellular]	No change
r_1168	transport [cytoplasm, vacuole]	No change
r_1169	transport [cytoplasm, extracellular]	No change
r_1170	transport [cytoplasm, extracellular]	No change
r_1171	transport [cytoplasm, extracellular]	No change
r_1172	transport [cytoplasm, extracellular]	No change
r_1173	transport [cytoplasm, extracellular]	No change
r_1174	transport [cytoplasm, vacuole]	No change
r_1175	transport [cytoplasm, mitochondrion]	No change
r_1176	transport [cytoplasm, extracellular]	No change
r_1177	transport [cytoplasm, extracellular]	No change
r_1178	transport [cytoplasm, extracellular]	No change
r_1179	transport [cytoplasm, mitochondrion]	No change
r_1180	transport [cytoplasm, extracellular]	No change
r_1181	transport [cytoplasm, extracellular]	No change
r_1182	transport [cytoplasm, mitochondrion]	No change
r_1183	transport [cytoplasm, extracellular]	No change
r_1184	transport [cytoplasm, extracellular]	No change
r_1185	transport [cytoplasm, vacuole]	No change
r_1186	transport [cytoplasm, extracellular]	No change
r_1187	transport [cytoplasm, vacuole]	No change
r_1188	transport [cytoplasm, vacuole]	No change
r_1189	transport [cytoplasm, vacuole]	No change
r_1190	transport [cytoplasm, extracellular]	No change
r_1191	transport [cytoplasm, extracellular]	No change
r_1192	transport [cytoplasm, extracellular]	No change
r_1193	transport [cytoplasm, vacuole]	No change
r_1194	transport [cytoplasm, mitochondrion]	No change
r_1195	transport [cytoplasm, vacuole]	No change
r_1196	transport [cytoplasm, extracellular]	No change
r_1197	transport [cytoplasm, vacuole]	No change
r_1198	transport [cytoplasm, vacuole]	No change
r_1199	transport [cytoplasm, extracellular]	No change
r_1200	transport [cytoplasm, vacuole]	No change
r_1201	transport [cytoplasm, extracellular]	No change
r_1202	transport [cytoplasm, vacuole]	No change
r_1203	transport [cytoplasm, vacuole]	No change
r_1204	transport [cytoplasm, vacuole]	No change
r_1205	transport [cytoplasm, extracellular]	No change
r_1206	transport [cytoplasm, mitochondrion]	No change
r_1207	transport [cytoplasm, extracellular]	No change
r_1208	transport [cytoplasm, vacuole]	No change
r_1209	transport [cytoplasm, vacuole]	No change
r_1210	transport [cytoplasm, vacuole]	No change
r_1211	transport [cytoplasm, extracellular]	No change
r_1212	transport [cytoplasm, vacuole]	No change
r_1213	transport [cytoplasm, extracellular]	No change
r_1214	transport [cytoplasm, extracellular]	No change
r_1215	transport [cytoplasm, extracellular]	No change
r_1216	transport [cytoplasm, extracellular]	No change
r_1217	transport [cytoplasm, extracellular]	No change
r_1218	transport [cytoplasm, extracellular]	No change
r_1219	transport [cytoplasm, extracellular]	No change
r_1220	transport [cytoplasm, vacuole]	No change
r_1221	transport [cytoplasm, vacuole]	No change
r_1222	transport [cytoplasm, vacuole]	No change
r_1223	transport [cytoplasm, extracellular]	No change
r_1224	transport [cytoplasm, extracellular]	No change
r_1225	transport [cytoplasm, extracellular]	No change
r_1226	transport [cytoplasm, mitochondrion]	No change
r_1227	transport [cytoplasm, extracellular]	No change
r_1228	transport [cytoplasm, extracellular]	No change
r_1229	transport [cytoplasm, mitochondrion]	No change
r_1230	transport [cytoplasm, mitochondrion]	No change
r_1231	transport [cytoplasm, mitochondrion]	No change
